"secao","id","ordem","nome","gatilho_ou_pergunta","condicao","acao_ou_conhecimento","mensagem_cliente","proximo_sucesso","proximo_alternativo","referencias","tipo_item","preco_brl","status_preco","prazo","status","observacoes"
"sequencia","AT-091","170","Esclarecer mensagem","Entrada ambígua ou inválida","Primeira dúvida","Reformular pergunta com opções. Na segunda falha consecutiva encaminhar para humano.","Não consegui entender essa parte. Você pode escolher uma das opções ou explicar de outro jeito?","AT-002","AT-090","REG-013","","","","","proposta_para_revisao",""
"sequencia","AT-092","180","Encerrar ou desistir","Cliente pede para parar ou cancelar montagem","Ainda não há contratação","Encerrar rascunho. Se existir pedido contratado ou pago, encaminhar a solicitação ao humano sem prometer cancelamento ou estorno.","Tudo bem. Podemos encerrar por aqui. Se já houver uma contratação, o Dudu avaliará sua solicitação.","AT-099","AT-090","","","","","","proposta_para_revisao",""
"sequencia","AT-099","190","Fim ou pausa","Conversa concluída ou encaminhada","Nenhuma ação automática pendente","Salvar estado final. Encaminhamento humano permanece pausado. Nova mensagem só reinicia atendimento se não houver bloqueio humano.","","","","","","","","","proposta_para_revisao",""
"logica","REG-001","1","Preço desconhecido","Preço vazio ou status diferente de aprovado","Aplicar antes da ação correspondente","Não calcular total final nem considerar preço ausente como zero. Encaminhar AT-080.","O valor dessa configuração ainda precisa ser confirmado.","AT-080","","","","","","","proposta_para_revisao",""
"logica","REG-002","2","Componentes obrigatórios","Cliente tenta remover parte essencial","Aplicar antes da ação correspondente","Impedir configuração incompleta. Explicar função e oferecer alternativa de escopo.","Esse componente é necessário para essa solução funcionar. Posso verificar uma opção mais simples.","AT-005","","","","","","","proposta_para_revisao",""
"logica","REG-003","3","Reaproveitamento","Cliente já possui domínio, hospedagem ou sistema","Aplicar antes da ação correspondente","Validar compatibilidade e autorização de uso. Exigir disponibilidade do componente, não uma compra nova.","Se o que você já tem for compatível, podemos aproveitar.","AT-003","","","","","","","proposta_para_revisao",""
"logica","REG-004","4","Dependência condicional","Extra exige outra capacidade","Aplicar antes da ação correspondente","Adicionar requisito à proposta e solicitar aceite antes de qualquer custo ou alteração.","Essa opção depende de outro componente. Vou explicar antes de você decidir.","AT-006","","","","","","","proposta_para_revisao",""
"logica","REG-005","5","Incompatibilidade","Escolhas não funcionam juntas","Aplicar antes da ação correspondente","Não aprovar configuração. Mostrar conflito e pedir escolha compatível.","Essas opções não funcionam juntas nessa configuração. Vamos ajustar?","AT-006","","","","","","","proposta_para_revisao",""
"logica","REG-006","6","Evitar cobrança duplicada","Item já incluído em base ou combo","Aplicar antes da ação correspondente","Usar IDs e quantidade. Não somar novamente item incluído. Validar unidades adicionais explicitamente.","","AT-007","","","","","","","proposta_para_revisao",""
"logica","REG-007","7","Total e recorrência","Orçamento apto a calcular","Aplicar antes da ação correspondente","Somar itens aprovados por quantidade em centavos. Aplicar somente desconto aprovado. Separar pagamento único, mensalidade e custos de terceiros.","","AT-009","","","","","","","proposta_para_revisao",""
"logica","REG-008","8","Confirmação explícita","Cliente revê carrinho","Aplicar antes da ação correspondente","Não contratar só porque perguntou preço. Qualquer alteração posterior invalida aceite anterior e exige nova revisão.","","AT-009","","","","","","","proposta_para_revisao",""
"logica","REG-009","9","Pagamento validado","Notificação ou comprovante recebido","Aplicar antes da ação correspondente","Verificar pagamento no servidor do provedor com pedido, valor e moeda. Comprovante e página de sucesso não bastam.","","AT-012","","","","","","","proposta_para_revisao",""
"logica","REG-010","10","Evento duplicado","Mesmo ID de mensagem ou pagamento recebido novamente","Aplicar antes da ação correspondente","Processar uma vez. Não duplicar pedido, cobrança, confirmação ou execução.","","","","","","","","","proposta_para_revisao",""
"logica","REG-011","11","Dados do cliente","Consulta ou coleta de dados","Aplicar antes da ação correspondente","Pedir só dados necessários. Não solicitar senha, token, código de acesso ou cartão no chat. Consultar pedido apenas do cliente autenticado.","","AT-014","","","","","","","proposta_para_revisao",""
"logica","REG-012","12","Prioridade humana","Cliente pede pessoa, reclama ou solicita estorno","Aplicar antes da ação correspondente","Interromper fluxo comercial e encaminhar. Não prometer tempo de resposta não definido.","","AT-090","","","","","","","proposta_para_revisao",""
"logica","REG-013","13","Limite de IA","Gemini indisponível ou cota esgotada","Aplicar antes da ação correspondente","Continuar com menu e regras determinísticas. Não ativar API paga automaticamente.","Podemos continuar pelas opções do menu.","AT-002","","","","","","","proposta_para_revisao",""
"logica","REG-014","14","Conhecimento ausente","Pergunta sem resposta aprovada","Aplicar antes da ação correspondente","Informar limite e encaminhar. Não inventar integração disponível, resultado, prazo ou garantia.","Preciso confirmar essa informação com o Dudu.","AT-090","","","","","","","proposta_para_revisao",""
"logica","REG-015","15","Precedência de eventos","Mensagem recebida em qualquer etapa","Aplicar antes da ação correspondente","Primeiro ignorar duplicatas. Depois respeitar pausa humana, pedido de humano ou encerramento. Só então processar etapa atual. Pergunta de FAQ preserva etapa anterior.","","","","","","","","","proposta_para_revisao",""
"logica","REG-016","16","Demonstração e produção","Serviço ainda não comprovado ou modo demonstração","Aplicar antes da ação correspondente","Apresentar como proposta ou demonstração. Habilitar cobrança somente em produção com oferta aprovada e integração validada.","","AT-080","","","","","","","proposta_para_revisao",""
"logica","REG-017","17","Ações autorizadas","Cliente pede instalação ou acesso","Aplicar antes da ação correspondente","Pedido comercial não autoriza acesso a contas ou instalação. Solicitar acesso mínimo pelo processo combinado e registrar consentimento.","","AT-090","","","","","","","proposta_para_revisao",""
"base_conhecimento","KB-001","1","Serviços oferecidos","O que vocês fazem?","Responder a partir desta base e preservar etapa corrente","A proposta de catálogo inclui sites, automação de atendimento e tarefas, soluções com IA e pacotes combinados. O escopo é confirmado no orçamento.","A proposta de catálogo inclui sites, automação de atendimento e tarefas, soluções com IA e pacotes combinados. O escopo é confirmado no orçamento.","","","CAT-001|CAT-002|CAT-003|CAT-004|CAT-005","","","","","proposta_para_revisao",""
"base_conhecimento","KB-002","2","Como funciona o atendimento","Isso é um robô?","Responder a partir desta base e preservar etapa corrente","Sou um assistente virtual. Ajudo a entender sua necessidade e organizar uma proposta. Você pode pedir para falar com o Dudu a qualquer momento.","Sou um assistente virtual. Ajudo a entender sua necessidade e organizar uma proposta. Você pode pedir para falar com o Dudu a qualquer momento.","","","AT-090","","","","","proposta_para_revisao",""
"base_conhecimento","KB-003","3","Preço","Quanto custa?","Responder a partir desta base e preservar etapa corrente","O valor depende do escopo e das opções escolhidas. Os preços deste catálogo ainda estão em definição. Posso organizar sua solicitação para orçamento.","O valor depende do escopo e das opções escolhidas. Os preços deste catálogo ainda estão em definição. Posso organizar sua solicitação para orçamento.","","","REG-001","","","","","proposta_para_revisao",""
"base_conhecimento","KB-004","4","Domínio existente","Já tenho domínio. Preciso comprar outro?","Responder a partir desta base e preservar etapa corrente","Podemos avaliar e aproveitar seu domínio atual. Ter domínio disponível é um requisito do pacote de site proposto, mas comprar outro não é obrigatório.","Podemos avaliar e aproveitar seu domínio atual. Ter domínio disponível é um requisito do pacote de site proposto, mas comprar outro não é obrigatório.","","","CMP-001","","","","","proposta_para_revisao",""
"base_conhecimento","KB-005","5","Extras","Posso tirar os adicionais?","Responder a partir desta base e preservar etapa corrente","Sim. Os opcionais podem ser retirados. Componentes essenciais permanecem, e algumas escolhas exigem dependências que explicamos antes da confirmação.","Sim. Os opcionais podem ser retirados. Componentes essenciais permanecem, e algumas escolhas exigem dependências que explicamos antes da confirmação.","","","REG-002|REG-004","","","","","proposta_para_revisao",""
"base_conhecimento","KB-006","6","Prazo","Em quanto tempo fica pronto?","Responder a partir desta base e preservar etapa corrente","O prazo será confirmado após a definição do escopo e dos materiais necessários. Não há um prazo padrão aprovado neste catálogo.","O prazo será confirmado após a definição do escopo e dos materiais necessários. Não há um prazo padrão aprovado neste catálogo.","","","AT-080","","","","","proposta_para_revisao",""
"base_conhecimento","KB-007","7","Mensalidade","Vou pagar todo mês?","Responder a partir desta base e preservar etapa corrente","Depende da solução. Implantação, manutenção e eventuais custos de terceiros serão apresentados separadamente na proposta.","Depende da solução. Implantação, manutenção e eventuais custos de terceiros serão apresentados separadamente na proposta.","","","REG-007","","","","","proposta_para_revisao",""
"base_conhecimento","KB-008","8","Gratuidade","É tudo grátis?","Responder a partir desta base e preservar etapa corrente","Podemos priorizar ferramentas com modalidade gratuita. O desenvolvimento do serviço e custos como domínio ou serviços externos dependem da proposta. Gratuidade de ferramenta não significa serviço gratuito.","Podemos priorizar ferramentas com modalidade gratuita. O desenvolvimento do serviço e custos como domínio ou serviços externos dependem da proposta. Gratuidade de ferramenta não significa serviço gratuito.","","","REG-001","","","","","proposta_para_revisao",""
"base_conhecimento","KB-009","9","Pix","Posso pagar com Pix?","Responder a partir desta base e preservar etapa corrente","Pix está previsto. A cobrança só será oferecida quando a integração estiver habilitada e o orçamento aprovado. Nesta demonstração não há cobrança.","Pix está previsto. A cobrança só será oferecida quando a integração estiver habilitada e o orçamento aprovado. Nesta demonstração não há cobrança.","","","AT-011|CFG-001","","","","","proposta_para_revisao",""
"base_conhecimento","KB-010","10","Cartão","Aceita cartão ou InfinitePay?","Responder a partir desta base e preservar etapa corrente","A integração com InfinitePay e cartão está planejada. A disponibilidade será confirmada antes da contratação.","A integração com InfinitePay e cartão está planejada. A disponibilidade será confirmada antes da contratação.","","","AT-090","","","","","proposta_para_revisao",""
"base_conhecimento","KB-011","11","Pagamento pendente","Mandei o comprovante. Já está pago?","Responder a partir desta base e preservar etapa corrente","O comprovante pode ajudar na conferência, mas a confirmação depende da verificação do pagamento no sistema.","O comprovante pode ajudar na conferência, mas a confirmação depende da verificação do pagamento no sistema.","","","REG-009","","","","","proposta_para_revisao",""
"base_conhecimento","KB-012","12","Atendimento humano","Quero falar com uma pessoa","Responder a partir desta base e preservar etapa corrente","Você pode falar com o Dudu. Vou solicitar o atendimento e preservar o resumo da conversa.","Você pode falar com o Dudu. Vou solicitar o atendimento e preservar o resumo da conversa.","","","AT-090","","","","","proposta_para_revisao",""
"base_conhecimento","KB-013","13","Funcionamento contínuo","Funciona com o computador desligado?","Responder a partir desta base e preservar etapa corrente","Depende da configuração escolhida. Uma automação local precisa do computador disponível. Uma implantação em nuvem depende dos serviços e limites contratados.","Depende da configuração escolhida. Uma automação local precisa do computador disponível. Uma implantação em nuvem depende dos serviços e limites contratados.","","","AT-080","","","","","proposta_para_revisao",""
"base_conhecimento","KB-014","14","Uso de IA","A IA decide os valores?","Responder a partir desta base e preservar etapa corrente","A IA pode ajudar a entender sua mensagem. Preços, componentes e cálculos devem vir do catálogo e das regras aprovadas.","A IA pode ajudar a entender sua mensagem. Preços, componentes e cálculos devem vir do catálogo e das regras aprovadas.","","","REG-001|REG-007","","","","","proposta_para_revisao",""
"base_conhecimento","KB-015","15","Cancelamento","Quero cancelar ou pedir reembolso","Responder a partir desta base e preservar etapa corrente","Vou encaminhar sua solicitação ao Dudu para avaliar o pedido e as condições aplicáveis. Não consigo confirmar cancelamento ou estorno automaticamente.","Vou encaminhar sua solicitação ao Dudu para avaliar o pedido e as condições aplicáveis. Não consigo confirmar cancelamento ou estorno automaticamente.","","","AT-090","","","","","proposta_para_revisao",""
"base_conhecimento","KB-016","16","Dados e acessos","Precisa da minha senha?","Responder a partir desta base e preservar etapa corrente","Não envie senhas, códigos de acesso ou dados de cartão aqui. Se algum acesso for necessário, combinaremos uma forma apropriada.","Não envie senhas, códigos de acesso ou dados de cartão aqui. Se algum acesso for necessário, combinaremos uma forma apropriada.","","","REG-011","","","","","proposta_para_revisao",""
"base_conhecimento","KB-017","17","Status","Como está meu serviço?","Responder a partir desta base e preservar etapa corrente","Posso consultar o status registrado do seu pedido após confirmar a identificação necessária.","Posso consultar o status registrado do seu pedido após confirmar a identificação necessária.","","","AT-014","","","","","proposta_para_revisao",""
"catalogo","CAT-001","1","Site profissional","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Site para apresentar seu negócio e facilitar o contato com clientes.","Site para apresentar seu negócio e facilitar o contato com clientes.","","","CMP-001|CMP-002|CMP-003|CMP-004","servico_base","","a_definir","a_definir","proposta_para_revisao","Base proposta: domínio disponível, hospedagem, estrutura responsiva e publicação com HTTPS. Quantidade de páginas a definir."
"catalogo","CAT-002","2","Atendimento automatizado no WhatsApp","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Fluxo de atendimento com catálogo, perguntas frequentes e encaminhamento humano.","Fluxo de atendimento com catálogo, perguntas frequentes e encaminhamento humano.","","","CMP-005|CMP-006","servico_base","","a_definir","a_definir","proposta_para_revisao","Depende de canal WhatsApp e ambiente de execução validados. Não implica que a integração já esteja instalada."
"catalogo","CAT-003","3","Automação de tarefas","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Automação de uma rotina repetitiva com regras e resultado verificável.","Automação de uma rotina repetitiva com regras e resultado verificável.","","","CMP-006","servico_base","","a_definir","a_definir","proposta_para_revisao","Definir uma rotina, entradas, saídas, frequência e permissões no orçamento."
"catalogo","CAT-004","4","Solução com IA","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Recurso de IA para interpretar solicitações dentro de um objetivo e de uma base definida.","Recurso de IA para interpretar solicitações dentro de um objetivo e de uma base definida.","","","CMP-006|CMP-007","servico_base","","a_definir","a_definir","proposta_para_revisao","Integrações, limites de uso e tratamento dos dados devem ser definidos no escopo."
"catalogo","CAT-005","5","Pacote presença e atendimento","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Combinação de site profissional e atendimento automatizado no WhatsApp.","Combinação de site profissional e atendimento automatizado no WhatsApp.","","","CAT-001|CAT-002","combo","","a_definir","a_definir","proposta_para_revisao","Não cobrar componentes compartilhados duas vezes. Desconto não definido."
"catalogo","CMP-001","6","Domínio disponível","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Endereço do site próprio, existente ou a contratar conforme proposta.","Endereço do site próprio, existente ou a contratar conforme proposta.","","","CAT-001","obrigatorio","","a_definir","a_definir","proposta_para_revisao","Reaproveitar domínio do cliente quando compatível. Taxa externa e renovação devem ser informadas."
"catalogo","CMP-002","7","Hospedagem disponível","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Ambiente compatível para disponibilizar o site.","Ambiente compatível para disponibilizar o site.","","","CAT-001","obrigatorio","","a_definir","a_definir","proposta_para_revisao","Pode ser recurso existente ou modalidade gratuita compatível. Não prometer capacidade ilimitada."
"catalogo","CMP-003","8","Estrutura responsiva","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Estrutura de páginas adaptada a celular e computador.","Estrutura de páginas adaptada a celular e computador.","","","CAT-001","obrigatorio","","a_definir","a_definir","proposta_para_revisao","Escopo visual, páginas e conteúdo definidos na proposta."
"catalogo","CMP-004","9","Publicação e HTTPS","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Configuração e verificação de acesso ao site publicado.","Configuração e verificação de acesso ao site publicado.","","","CAT-001|CMP-001|CMP-002","obrigatorio","","a_definir","a_definir","proposta_para_revisao","Publicação depende dos acessos autorizados."
"catalogo","CMP-005","10","Conexão WhatsApp","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Canal para receber e enviar mensagens na configuração aprovada.","Canal para receber e enviar mensagens na configuração aprovada.","","","CAT-002","obrigatorio","","a_definir","a_definir","proposta_para_revisao","Escolher provedor e validar integração. Custos externos, se houver, separados."
"catalogo","CMP-006","11","Execução e estado","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Ambiente para executar automações e guardar o estado necessário.","Ambiente para executar automações e guardar o estado necessário.","","","CAT-002|CAT-003|CAT-004","obrigatorio","","a_definir","a_definir","proposta_para_revisao","Escolher execução local ou nuvem e armazenamento conforme o caso."
"catalogo","CMP-007","12","Provedor de IA","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Acesso a modelo compatível com a finalidade e os limites definidos.","Acesso a modelo compatível com a finalidade e os limites definidos.","","","CAT-004|EXT-004","condicional","","a_definir","a_definir","proposta_para_revisao","Obrigatório quando uma função depende de IA. Preferir modalidade gratuita compatível sem prometer gratuidade permanente."
"catalogo","EXT-001","13","Página adicional","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Página adicional ao escopo base contratado.","Página adicional ao escopo base contratado.","","","CAT-001","opcional","","a_definir","a_definir","proposta_para_revisao","Cobrar por unidade aprovada e excluir páginas já incluídas."
"catalogo","EXT-002","14","Botão de WhatsApp no site","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Link no site para iniciar uma conversa no WhatsApp.","Link no site para iniciar uma conversa no WhatsApp.","","","CAT-001","opcional","","a_definir","a_definir","proposta_para_revisao","Não inclui bot ou atendimento automático."
"catalogo","EXT-003","15","Formulário de contato","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Formulário para receber solicitações pelo site.","Formulário para receber solicitações pelo site.","","","CAT-001","opcional","","a_definir","a_definir","proposta_para_revisao","Definir campos e destino das solicitações."
"catalogo","EXT-004","16","Interpretação com Gemini","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Interpretação de mensagens usando um provedor Gemini configurado.","Interpretação de mensagens usando um provedor Gemini configurado.","","","CAT-002|CMP-007","opcional","","a_definir","a_definir","proposta_para_revisao","Preços e ações continuam sujeitos às regras. Prever menu quando a IA estiver indisponível."
"catalogo","EXT-005","17","Catálogo e pedidos em Sheets","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Consulta e registro estruturado de catálogo e pedidos em planilha.","Consulta e registro estruturado de catálogo e pedidos em planilha.","","","CMP-006","opcional","","a_definir","a_definir","proposta_para_revisao","Definir conta proprietária e escopo de acesso."
"catalogo","EXT-006","18","Integração Pix","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Cobrança vinculada ao pedido e confirmação pelo provedor.","Cobrança vinculada ao pedido e confirmação pelo provedor.","","","CMP-006|REG-009","condicional","","a_definir","a_definir","planejado","Só habilitar após implementação, testes e configuração do recebedor."
"catalogo","EXT-007","19","Cartão com InfinitePay","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Pagamento por cartão através de integração a validar.","Pagamento por cartão através de integração a validar.","","","CMP-006","opcional","","a_definir","a_definir","planejado","Não oferecer como disponível antes da validação."
"catalogo","EXT-008","20","Manutenção","Cliente consulta ou seleciona item","Oferta sujeita à confirmação de escopo","Atendimento de manutenção conforme escopo e periodicidade acordados.","Atendimento de manutenção conforme escopo e periodicidade acordados.","","","","servico_complementar","","a_definir","a_definir","proposta_para_revisao","Periodicidade, valor, cobertura e tempo de resposta a definir."
